1-1,1-2,1-5,1-6,1-7,2-5,2-7,2-8,3-1,3-4,3-6,3-9,3-10,3-11
0.085018,0.008877,0.008347,0.017486,0.021609,0.013509,0.015524,0.041185,0.086457,0.267185,0.141505,0.177743,0.080144,0.0
0.084621,0.010694,0.026232,0.093742,0.025925,0.013143,0.047331,0.038824,0.110152,0.326848,0.168909,0.343926,0.080976,0.001831
0.087198,0.009372,0.015898,0.495844,0.021686,0.026287,0.007573,0.009136,0.062447,0.280156,0.190334,0.007938,0.103993,0.0
0.091161,0.006854,0.006094,0.673948,0.040469,0.034319,0.013631,0.009444,0.012637,0.346304,0.124564,0.003572,0.103439,0.0
0.087594,0.01507,0.002782,0.261604,0.023775,0.031033,0.020825,0.006385,0.023273,0.309339,0.129547,0.005904,0.114531,0.000229
0.090567,0.009042,0.162162,0.349776,0.034894,0.018985,0.006437,0.016445,0.035067,0.303502,0.114101,0.005606,0.09401,0.000229
0.082243,0.003592,0.010201,0.142354,0.026278,0.01862,0.006437,0.011538,0.027801,0.270428,0.189337,0.005185,0.102329,0.001144
0.086801,0.005698,0.007154,0.154683,0.036584,0.013874,0.009466,0.004291,0.029381,0.280804,0.135027,0.005383,0.099002,0.017853
0.073325,0.031503,0.009009,0.036963,0.037782,0.015699,0.006437,0.009403,0.024221,0.302853,0.145989,0.005879,0.088464,0.000687
0.087594,0.04199,0.012719,0.047872,0.018292,0.02008,0.012117,0.008253,0.029697,0.271725,0.160438,0.006375,0.10122,0.0
0.089972,0.010157,0.066508,0.034184,0.057133,0.014969,0.012874,0.006159,0.054444,0.222438,0.123069,0.009724,0.104825,0.001144
0.08799,0.019653,0.007684,0.052471,0.040807,0.024096,0.018175,0.0054,0.032224,0.305447,0.121574,0.006351,0.109817,0.0
0.088189,0.017919,0.007684,0.025386,0.035693,0.032859,0.007573,0.003367,0.050548,0.261997,0.184853,0.009724,0.111758,0.0
0.085414,0.02436,0.009671,0.046452,0.040208,0.017525,0.013631,0.055126,0.023694,0.263943,0.111111,0.004986,0.153078,0.0
0.083036,0.01924,0.190382,0.048066,0.035893,0.031398,0.018175,0.012175,0.038543,0.266537,0.141006,0.004763,0.077926,0.000687
0.088387,0.004707,0.005034,0.032157,0.036553,0.021176,0.020068,0.004948,0.025168,0.256809,0.112108,0.005061,0.098724,0.000687
0.091558,0.022089,0.012189,0.03558,0.039748,0.021541,0.010223,0.004311,0.024642,0.26978,0.095167,0.004788,0.092346,0.009384
0.084225,0.017093,0.013249,0.046877,0.055858,0.012413,0.017418,0.011128,0.023273,0.329442,0.11709,0.005854,0.076539,0.000687
0.075704,0.066144,0.005697,0.053491,0.049131,0.017525,0.013631,0.025356,0.029065,0.238003,0.133034,0.01156,0.102884,0.0
0.087594,0.01346,0.007287,0.017341,0.038657,0.021176,0.005301,0.016774,0.059288,0.220493,0.09417,0.006624,0.113422,0.000229
0.078676,0.026383,0.004372,0.008458,0.052449,0.013143,0.017418,0.012113,0.024958,0.162776,0.142501,0.009972,0.105935,0.000687
0.084621,0.01057,0.002385,0.018287,0.050084,0.029573,0.020825,0.007124,0.050653,0.251621,0.104136,0.005755,0.11675,0.0
0.090369,0.015318,0.164812,0.01728,0.041329,0.031398,0.009466,0.0085,0.064659,0.255512,0.127554,0.009824,0.089573,0.000229
0.074316,0.019034,0.006359,0.012972,0.060005,0.017525,0.012495,0.005379,0.028328,0.187419,0.116592,0.006127,0.090128,0.000687
0.083432,0.004913,0.005697,0.021527,0.050898,0.030668,0.015146,0.00618,0.017692,0.245136,0.095665,0.004292,0.125624,0.001373
0.080063,0.013997,0.004902,0.023275,0.055229,0.01789,0.017039,0.004784,0.026432,0.28275,0.144494,0.003275,0.090405,0.000458
0.074316,0.003964,0.008347,0.022122,0.057794,0.029208,0.006816,0.041329,0.026853,0.228923,0.092676,0.004292,0.122851,0.000229
0.083829,0.004542,0.010996,0.016552,0.045584,0.014969,0.012495,0.005235,0.021272,0.24773,0.1714,0.004515,0.077926,0.000229
0.07174,0.005202,0.13699,0.02518,0.043372,0.01935,0.012874,0.01006,0.018534,0.225681,0.100149,0.003622,0.10122,0.0
0.081252,0.070479,0.010069,0.045603,0.045292,0.016429,0.004922,0.007288,0.018639,0.210765,0.139013,0.004019,0.141431,0.000687
0.07828,0.0391,0.015103,0.02535,0.055705,0.016429,0.022719,0.038393,0.028117,0.206874,0.09417,0.271266,0.102329,0.001144
0.075109,0.011354,0.006359,0.016855,0.060297,0.035414,0.009845,0.005359,0.113416,0.258755,0.125561,0.438466,0.094842,0.000229
0.070749,0.016102,0.123344,0.031114,0.059314,0.021176,0.007573,0.005215,0.118892,0.125811,0.092676,0.359877,0.06822,0.0
0.072136,0.039967,0.007817,0.00955,0.059345,0.025922,0.007194,0.009177,0.136584,0.273022,0.114101,0.254794,0.09817,0.000687
0.071542,0.028076,0.009274,0.03058,0.056534,0.02008,0.01401,0.009732,0.013479,0.1738,0.118087,0.00392,0.100943,0.0
0.073722,0.006771,0.004107,0.00921,0.05615,0.033954,0.024991,0.021024,0.028117,0.168612,0.079721,0.003448,0.115641,0.000687
0.069164,0.025805,0.007684,0.013361,0.050345,0.023001,0.010602,0.004353,0.016744,0.162127,0.146986,0.003597,0.092069,0.004807
0.070551,0.00896,0.11778,0.021867,0.058085,0.015699,0.010981,0.003778,0.017376,0.220493,0.093174,0.00392,0.109817,0.000229
0.065993,0.002684,0.004769,0.022765,0.059928,0.01789,0.008709,0.047057,0.020114,0.195201,0.087195,0.004044,0.113699,0.000229
0.078082,0.004418,0.002252,0.027376,0.058638,0.01862,0.007952,0.007925,0.02243,0.223087,0.148979,0.003746,0.103161,0.000687
0.064407,0.00384,0.083068,0.030774,0.049899,0.063527,0.013631,0.005441,0.048547,0.154345,0.129547,0.00841,0.115086,0.000687
0.068569,0.003138,0.167462,0.013227,0.067515,0.098941,0.011359,0.006385,0.020746,0.17834,0.096163,0.004937,0.107044,0.000229
0.075704,0.003303,0.006492,0.043152,0.057963,0.03651,0.011359,0.002895,0.067818,0.199741,0.099153,0.007144,0.131725,0.000229
0.065398,0.006854,0.006359,0.028845,0.053309,0.020445,0.012874,0.004004,0.025274,0.3262,0.15147,0.004168,0.134498,0.000687
0.063218,0.002684,0.013911,0.025423,0.049838,0.015699,0.019311,0.003921,0.016323,0.150454,0.072247,0.004093,0.114531,0.0
0.064011,0.002271,0.003047,0.022656,0.041053,0.027017,0.014767,0.033958,0.014111,0.208171,0.064275,0.003746,0.155574,0.000229
0.065398,0.004418,0.07088,0.061682,0.044831,0.021541,0.01666,0.006837,0.035699,0.162127,0.155456,0.004267,0.101775,0.003662
0.066191,0.005739,0.004372,0.031114,0.050391,0.011683,0.008709,0.003429,0.017692,0.224384,0.124066,0.00387,0.103161,0.001144
0.054102,0.004253,0.016693,0.047472,0.048609,0.032859,0.009845,0.003655,0.016639,0.138132,0.13154,0.004068,0.085691,0.0
0.066587,0.00384,0.019078,0.034997,0.052219,0.024461,0.00833,0.002464,0.01032,0.095331,0.074738,0.004217,0.108985,0.0
0.068371,0.002766,0.110095,0.06548,0.050299,0.018985,0.011359,0.003429,0.013163,0.115435,0.124564,0.008534,0.091514,0.000687
0.062029,0.003592,0.004505,0.037181,0.038242,0.02008,0.019311,0.027203,0.068555,0.2393,0.087195,0.003597,0.076816,0.000916
0.070155,0.00512,0.052067,0.043843,0.051742,0.018985,0.012117,0.002751,0.052127,0.111543,0.078724,0.007616,0.099279,0.010986
0.052913,0.002519,0.159777,0.033966,0.043587,0.024096,0.01401,0.002053,0.014848,0.188067,0.098156,0.003696,0.09706,0.0
0.066389,0.00512,0.006227,0.047083,0.049147,0.026287,0.006437,0.001909,0.014743,0.146563,0.082711,0.003994,0.105103,0.0
0.063417,0.004913,0.009804,0.043491,0.057102,0.023366,0.006816,0.002772,0.023378,0.145914,0.164923,0.003671,0.113699,0.000916
0.063813,0.004377,0.005564,0.02666,0.039149,0.040891,0.00568,0.002033,0.01369,0.232166,0.069756,0.004019,0.115086,0.006409
0.062624,0.002147,0.108108,0.010048,0.049055,0.014969,0.006437,0.002525,0.013585,0.184825,0.093672,0.004068,0.129506,0.000687
0.053508,0.001486,0.002915,0.014987,0.04801,0.018985,0.012495,0.003141,0.014322,0.133593,0.109616,0.00325,0.113977,0.0
0.060642,0.004046,0.007022,0.037424,0.050729,0.016794,0.014767,0.038721,0.00853,0.218547,0.080717,0.003225,0.095397,0.000229
0.058264,0.002271,0.005962,0.008312,0.048195,0.028478,0.007194,0.003655,0.071083,0.175746,0.118585,0.083674,0.106489,0.000687
0.059255,0.049257,0.003577,0.019561,0.039609,0.032859,0.012874,0.003716,0.115733,0.181582,0.090184,0.414155,0.093178,0.0
