1-1,1-2,1-5,1-6,1-7,2-5,2-7,2-8,3-1,3-4,3-6,3-9,3-10,3-11
0.043242,0.013796,0.044014,0.13358,0.126509,0.006485,0.004063,0.037456,0.101157,0.185694,0.22931,0.104625,0.000165,0.393717
0.042554,0.003295,0.041019,0.160766,0.135277,0.006416,0.005723,0.036038,0.115919,0.213184,0.231546,0.103867,8.3e-05,0.39116
0.037331,0.012595,0.039636,0.152095,0.13818,0.00581,0.005779,0.036924,0.101154,0.045161,0.230367,0.098032,8.3e-05,0.382249
0.043489,0.074196,0.042171,0.118994,0.172797,0.006278,0.005582,0.034692,0.096867,0.057784,0.227285,0.090415,8.3e-05,0.371499
0.039118,0.002986,0.047817,0.11213,0.19056,0.004653,0.004035,0.03331,0.092552,0.045161,0.223931,0.08907,0.0,0.364475
0.043736,0.009849,0.037792,0.171423,0.225404,0.005135,0.005371,0.033451,0.092437,0.067602,0.222209,0.088953,0.0,0.362886
0.04184,0.01685,0.03157,0.21875,0.210032,0.005011,0.004527,0.030191,0.09215,0.038429,0.221333,0.088614,0.0,0.349615
0.040905,0.023886,0.023505,0.267025,0.19688,0.005245,0.004654,0.030369,0.093211,0.017111,0.218099,0.088339,0.0,0.350403
0.042444,0.011085,0.041249,0.280257,0.173594,0.004777,0.005512,0.028455,0.091225,0.013745,0.219822,0.086739,0.0,0.347942
0.040822,0.0035,0.040788,0.275199,0.172398,0.007049,0.005245,0.02764,0.090274,0.023843,0.21399,0.086612,8.3e-05,0.339437
0.045331,0.005868,0.046319,0.321577,0.228308,0.005273,0.004232,0.027144,0.087163,0.010379,0.211543,0.084471,8.3e-05,0.341898
0.039338,0.070902,0.030533,0.292901,0.262241,0.005452,0.004106,0.0264,0.087641,0.019074,0.207282,0.083863,8.3e-05,0.3381
0.043022,0.009266,0.022007,0.285314,0.247381,0.005934,0.005343,0.025514,0.093931,0.078541,0.203837,0.089947,0.0,0.332879
0.03975,0.25574,0.038599,0.278586,0.266454,0.004888,0.004331,0.026081,0.086837,0.161851,0.202568,0.08229,8.3e-05,0.332485
0.039421,0.023268,0.04413,0.271676,0.27824,0.005163,0.00516,0.024805,0.084032,0.116129,0.200906,0.078995,0.0,0.326787
0.042582,0.003535,0.043093,0.273031,0.283591,0.006485,0.004288,0.024274,0.084384,0.058626,0.200725,0.07991,8.3e-05,0.326775
0.039091,0.003329,0.028575,0.263909,0.315133,0.005659,0.004288,0.024876,0.080904,0.049649,0.19864,0.078794,8.3e-05,0.325987
0.043846,0.029068,0.025464,0.275424,0.321168,0.005617,0.020373,0.02477,0.082592,0.063955,0.196706,0.078929,8.3e-05,0.3187
0.035957,0.003089,0.036525,0.300172,0.303348,0.00402,0.076685,0.024522,0.089523,0.05021,0.194319,0.086272,8.3e-05,0.31483
0.043819,0.014276,0.03906,0.277366,0.260988,0.004846,0.035741,0.023069,0.082724,0.087798,0.19447,0.078598,0.0,0.318748
