1-1,1-2,1-5,1-6,1-7,2-5,2-7,2-8,3-1,3-4,3-6,3-9,3-10,3-11
0.034677,0.0,0.141966,0.091595,0.150097,0.119352,0.094747,0.090054,0.002303,0.161616,0.099686,0.002212,0.0,0.428481
0.035763,0.0,0.149766,0.121441,0.183099,0.102302,0.13227,0.08956,0.001954,0.181818,0.100134,0.00194,0.0,0.421157
0.033012,0.0,0.135725,0.108405,0.193593,0.101449,0.141651,0.090054,0.002059,0.040404,0.099462,0.00194,0.0,0.411348
0.035112,0.0,0.148206,0.110806,0.239022,0.097187,0.111632,0.083127,0.001954,0.050505,0.097222,0.001906,0.0,0.404542
0.033447,0.0,0.154446,0.101544,0.261944,0.088662,0.098499,0.088075,0.001919,0.050505,0.096102,0.001872,0.0,0.390266
0.034171,0.0,0.126365,0.145798,0.300746,0.098039,0.106942,0.087086,0.001954,0.060606,0.095206,0.001872,0.0,0.388687
0.034605,0.0,0.115445,0.169811,0.284866,0.108269,0.105066,0.082632,0.002024,0.030303,0.094534,0.00194,0.0,0.380805
0.031999,0.0,0.099844,0.21578,0.269125,0.094629,0.128518,0.079664,0.001919,0.010101,0.094086,0.001906,0.0,0.376256
0.035112,0.0,0.121685,0.192453,0.236123,0.086104,0.121013,0.075705,0.001989,0.010101,0.094534,0.001872,0.0,0.374266
0.033085,0.0,0.118565,0.199657,0.243855,0.13555,0.092871,0.07719,0.002024,0.010101,0.09319,0.001906,0.0,0.370049
0.035257,0.0,0.117005,0.22916,0.303922,0.120205,0.096623,0.073231,0.001919,0.010101,0.091846,0.00194,0.0,0.36669
0.032144,0.0,0.109204,0.20446,0.328086,0.102302,0.093809,0.071252,0.001989,0.020202,0.089382,0.001906,0.0,0.364101
0.034388,0.0,0.095164,0.181818,0.316901,0.083546,0.103189,0.073231,0.001954,0.060606,0.088262,0.001906,0.0,0.363121
0.031926,0.0,0.115445,0.186964,0.336924,0.086957,0.099437,0.070757,0.001884,0.121212,0.087814,0.001906,0.0,0.356695
0.03265,0.0,0.129485,0.213379,0.352665,0.084399,0.093809,0.071252,0.001919,0.10101,0.087366,0.001872,0.0,0.351411
0.03323,0.0,0.149766,0.174271,0.359431,0.093777,0.090056,0.070262,0.001884,0.050505,0.086694,0.001838,0.0,0.355619
0.031709,0.0,0.109204,0.175986,0.39409,0.089514,0.085366,0.071252,0.001884,0.040404,0.086694,0.001838,0.0,0.34993
